id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
42596773,Double Room in Sultanahmet- Hotel Villa Pasha,339203995,Ahmet,,Fatih,41.00657,28.97978,Private room,409,2,0,,,6,0
42597496,RESIDENCE in ISTANBUL near METRO,155915895,Berk,,Sisli,41.05114,28.97565,Entire home/apt,250,3,0,,,2,1
42597718,New and comfortable suite,319550749,Moh,,Fatih,41.01252,28.94995,Entire home/apt,273,1,0,,,3,180
42597740,"Şişli, metro ve metrobüs yanında, Ferah oda",307883459,Alperen Çetin,,Sisli,41.05766,28.99698,Private room,127,1,0,,,1,365
42598199,Home for Erasmus students and travelers,58473147,Alp,,Sisli,41.054,28.9888,Private room,100,1,0,,,1,1
42598426,2BR+1LRW/ Panoromic SeaView Next to BLUEmousqe,339335411,Kenan,,Fatih,41.00282,28.96394,Entire home/apt,454,1,0,,,1,0
42598994,close to the metrobus  new buildings and furniture,263651178,Hüseyincan,,Avcilar,40.9831,28.73103,Entire home/apt,223,2,0,,,2,0
42599109,Family Room in Sultanahmet-Hotel Villa Pasha,339203995,Ahmet,,Fatih,41.00644,28.98071,Private room,670,2,0,,,6,180
42600670,PERA FLOWER HOUSE BLACK CONCEPT İN TAKSİM,229048031,Ilhan,,Beyoglu,41.03627,28.9736,Entire home/apt,161,2,9,2020-12-19,0.91,16,356
42601285,carvan hotel  22,266551356,Carvan,,Fatih,41.0052,28.9722,Shared room,111,1,0,,,4,359
42601787,Confortable Double Room with Balcony,283271701,Serdarr,,Fatih,41.00409,28.97489,Private room,180,2,1,2020-09-07,0.26,9,365
42602424,Havalimanına 5 dakika site içersinde,236723647,Naci Gökhan,,Pendik,40.92562,29.30487,Private room,454,1,0,,,1,179
42603884,3 min to Taksim - central & clean,245267403,Volkan,,Beyoglu,41.03741,28.98287,Entire home/apt,184,1,5,2020-12-06,1.47,5,362
42604005,LOVELY AND COZY APT WITH WIEV AND AC,237616777,Umut Özgün,,Beyoglu,41.03482,28.98583,Entire home/apt,264,3,7,2020-10-25,0.75,22,159
42604178,Esenyurt'daki eviniz.,339380499,Burak,,Esenyurt,41.02098,28.68465,Entire home/apt,149,1,0,,,2,365
